Node_ID,Solid,Node_Type,Node_Index,Position_X,Position_Y,Position_Z,CRV_Name,CRV_Value,CRV_Symbol,CRV_Type,Is_Known_Constant,Realm,Wavelength_nm,Frequency_Hz,Description
168,icosahedron,edge,27,0.309017,0.500000,0.809017,classical_electron_radius,2.817940e-15,re,physical_constant,True,cosmological,1e+15,2.818e-30,Classical electron radius
169,icosahedron,edge,28,0.309017,0.500000,0.809017,pi_e,22.459158,pi^e,transcendental_compound,True,cosmological,1e+15,2.246e-14,Pi raised to the power of e
170,icosahedron,edge,29,0.309017,0.500000,0.809017,e_phi,5.043166,e^phi,potential_new_constant,False,cosmological,1e+15,5.043e-15,Euler number raised to the power of golden ratio
171,icosahedron,face,0,0.688982,0.230838,0.769162,tau,6.283185,tau,primary_constant,True,cosmological,1e+15,6.283e-16,Primary mathematical constant tau
172,icosahedron,face,1,0.566211,0.983471,0.016529,tau_phi,19.565104,tau^phi,transcendental_compound,True,cosmological,1e+15,1.957e-15,Tau raised to the power of golden ratio
173,icosahedron,face,2,0.502580,0.037207,0.962793,tau_pi,321.777750,tau^pi,potential_new_constant,False,cosmological,1e+15,3.218e-13,Tau raised to the power of pi
174,icosahedron,face,3,0.177525,0.273979,0.726021,tau_mul_e_pi,145.397260,tau*e^pi,transcendental_compound,True,cosmological,1e+15,1.454e-13,Tau multiplied by e raised to pi
175,icosahedron,face,4,0.683761,0.220216,0.779784,e_tau,535.491656,e^tau,potential_new_constant,False,cosmological,1e+15,5.355e-13,Euler number raised to the power of tau
176,icosahedron,face,5,0.946043,0.974932,0.025068,pi_tau,31.006277,pi^tau,transcendental_compound,True,cosmological,1e+15,3.101e-14,Pi raised to the power of tau
177,icosahedron,face,6,0.063537,0.823613,0.176387,phi_tau,20.564023,phi^tau,transcendental_compound,True,cosmological,1e+15,2.056e-14,Golden ratio raised to the power of tau
178,icosahedron,face,7,0.411260,0.035552,0.964448,tau_e,544.571910,tau^e,transcendental_compound,True,cosmological,1e+15,5.446e-13,Tau raised to the power of e
179,icosahedron,face,8,0.427694,0.282631,0.717369,tau_sqrt_2,8.886111,tau^√2,transcendental_compound,True,cosmological,1e+15,8.886e-15,Tau raised to the power of square root of 2
180,icosahedron,face,9,0.125723,0.070720,0.929280,tau_sqrt_3,10.882677,tau^√3,transcendental_compound,True,cosmological,1e+15,1.088e-14,Tau raised to the power of square root of 3
181,icosahedron,face,10,0.397026,0.000000,1.000000,tau_sqrt_5,14.045155,tau^√5,transcendental_compound,True,cosmological,1e+15,1.405e-14,Tau raised to the power of square root of 5
182,icosahedron,face,11,0.113309,0.256642,0.743358,tau_ln_2,4.355957,tau^ln(2),transcendental_compound,True,cosmological,1e+15,4.356e-15,Tau raised to the power of natural log of 2
183,icosahedron,face,12,0.571895,0.056056,0.943944,pi,3.141593,pi,primary_constant,True,cosmological,1e+15,3.142e-15,Primary mathematical constant pi
184,icosahedron,face,13,0.205948,1.000000,0.000000,e,2.718282,e,primary_constant,True,cosmological,1e+15,2.718e-15,Primary mathematical constant e
185,icosahedron,face,14,0.974161,0.357261,0.642739,phi,1.618034,phi,primary_constant,True,cosmological,1e+15,1.618e-15,Primary mathematical constant phi
186,icosahedron,face,15,0.057638,0.139801,0.860199,zeta_3,1.202057,ζ(3),number_theory_constant,True,cosmological,1e+15,1.202e-15,Apéry's constant (zeta function at 3)
187,icosahedron,face,16,0.739369,0.918844,0.081156,catalan,0.915966,G,number_theory_constant,True,cosmological,1e+15,9.160e-16,Catalan's constant
188,icosahedron,face,17,0.411260,0.035552,0.964448,khinchin,2.685452,K,number_theory_constant,True,cosmological,1e+15,2.685e-15,Khinchin's constant
189,icosahedron,face,18,0.147026,0.750000,0.350000,glaisher,1.282427,A,number_theory_constant,True,cosmological,1e+15,1.282e-15,Glaisher-Kinkelin constant
190,icosahedron,face,19,0.863309,0.756642,0.243358,pi_e,22.459158,pi^e,transcendental_compound,True,cosmological,1e+15,2.246e-14,Pi raised to the power of e
191,intersection,cross_realm,0,0.500000,0.618000,0.382000,tau_mul_e_pi,145.397260,tau*e^pi,transcendental_compound,True,cross_realm,580.0,7.924e+14,Cross-realm intersection: Tau multiplied by e raised to pi
192,intersection,cross_realm,1,0.500000,0.618000,0.382000,phi_tau,20.564023,phi^tau,transcendental_compound,True,cross_realm,580.0,1.121e+14,Cross-realm intersection: Golden ratio raised to the power of tau
193,intersection,cross_realm,2,0.500000,0.618000,0.382000,pi_e,22.459158,pi^e,transcendental_compound,True,cross_realm,580.0,1.224e+14,Cross-realm intersection: Pi raised to the power of e
194,intersection,cross_realm,3,0.500000,0.618000,0.382000,e_phi,5.043166,e^phi,potential_new_constant,False,cross_realm,580.0,2.749e+13,Cross-realm intersection: Euler number raised to the power of golden ratio

